eenheid,label,symbool
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_15,ton per jaar,t/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_366,centimol(+) per kilogram,cmol(+)/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_311,nanogram asbest per uur,ng asbest/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_287,gewichtsprocent,gew%
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_157,benzo(a)pyrene eq./L,benzo(a)pyrene eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_205,microgram per kubieke meter,µg/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_235,zuurequivalent per hectare per jaar,zeq/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_302,nanogram per kilogram droge stof,ng/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_248,mol per kilogram,mol/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_207,parts per billion,ppb
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_246,kubieke centimeter per kilogram,cm³/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_76,Duitse hardheidsgraden,°D
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_19,kilogram per week,kg/wk
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_195,mol per hectare per jaar,mol/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_345,microgram toxiciteit equivalenten per normaal kubieke meter,µgTEQ/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_233,kilogram stikstof per hectare,kgN/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_355,kubieke centimeter per kilogram droge stof,cm³/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_344,microgram toxiciteit equivalenten per liter,µgTEQ/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_69,microgram equivalent per liter,µg eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_289,bar,bar
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_348,gram toxiciteit equivalenten per liter,gTEQ/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_187,nanogram equivalenten per liter,ng eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_251,gram per kubieke centimeter,g/cm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_369,gewichtsprocent per droge stof,gew% ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_85,picogram equivalenten per kubieke meter,pg eq/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_280,gram equivalenten per kg,g eq/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_330,microgram koolstof per normaal kubieke meter,µgC/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_212,microgram per vierkante meter per dag,µg/m².d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_186,petajoule,PJ
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_307,microgram toxiciteit equivalenten per kilogram droge stof,µgTEQ/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_223,picogram per vierkante meter per dag,pg/m².d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_291,liter per gram,L/g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_329,nanogram koolstof per normaal kubieke meter,ngC/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_193,Pascal,Pa
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_190,nanogram PFOA equivalent per kilogram droge stof,ng PFOA eq/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_284,centiStokes,cSt
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_188,nanogram 17b estradiol equivalent per liter,ng EEQ/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_177,megawatt thermisch,MWth
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_167,microgram Tributyltin acetate eq./l,µg TBySn ac. eq./L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_194,mol per hectare,mol/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_44,promille,%:10
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_54,per 100 mL,/100mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_365,microgram TEQ per kilogram,µgTEQ/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_156,actinomycin D eq./L staal,actinomycin D eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_80,nanogram equivalenten per kg,ng eq/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_160,µg WHO-TEQ 2005 per kg nat gewicht,µgWHO-TEQ2005/kg ng
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_315,kilogram zuurstof per week,kgO2/wk
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_22,microgram per jaar,µg/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_343,nanogram toxiciteit equivalenten per liter,ngTEQ/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_189,nanogram PFOA equivalent per liter,ng PFOA eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_290,volume procent,vol%
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_48,liter per week,L/wk
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_260,kilocalorieën per kilogram,kcal/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_272,milligram equivalenten per kubieke meter,mg eq/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_168,microgram tin per dag,µgSn/d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_174,gram toxiciteit equivalenten per jaar,gTEQ/jr
